date,code,label,close,source,fetched_at
2002-07-31,0001,KOSPI,717.99,kis_api,2026-08-17T02:03:27+00:00
2002-07-31,000660,SK하이닉스,10011.0,kis_api,2026-08-17T02:03:21+00:00
2002-08-30,0001,KOSPI,736.4,kis_api,2026-08-17T02:03:27+00:00
2002-08-30,000660,SK하이닉스,10501.0,kis_api,2026-08-17T02:03:21+00:00
2002-09-30,0001,KOSPI,646.42,kis_api,2026-08-17T02:03:27+00:00
2002-09-30,000660,SK하이닉스,8342.0,kis_api,2026-08-17T02:03:21+00:00
2002-10-31,0001,KOSPI,658.92,kis_api,2026-08-17T02:03:27+00:00
2002-10-31,000660,SK하이닉스,9324.0,kis_api,2026-08-17T02:03:21+00:00
2002-11-29,0001,KOSPI,724.8,kis_api,2026-08-17T02:03:27+00:00
2002-11-29,000660,SK하이닉스,8538.0,kis_api,2026-08-17T02:03:21+00:00
2002-12-30,0001,KOSPI,627.55,kis_api,2026-08-17T02:03:27+00:00
2002-12-30,000660,SK하이닉스,5496.0,kis_api,2026-08-17T02:03:21+00:00
2003-01-30,0001,KOSPI,591.86,kis_api,2026-08-17T02:03:27+00:00
2003-01-30,000660,SK하이닉스,4612.0,kis_api,2026-08-17T02:03:21+00:00
2003-02-28,0001,KOSPI,575.43,kis_api,2026-08-17T02:03:27+00:00
2003-02-28,000660,SK하이닉스,3925.0,kis_api,2026-08-17T02:03:21+00:00
2003-03-31,0001,KOSPI,535.7,kis_api,2026-08-17T02:03:27+00:00
2003-03-31,000660,SK하이닉스,2649.0,kis_api,2026-08-17T02:03:21+00:00
2003-04-30,0001,KOSPI,599.35,kis_api,2026-08-17T02:03:27+00:00
2003-04-30,000660,SK하이닉스,3230.0,kis_api,2026-08-17T02:03:21+00:00
2003-05-30,0001,KOSPI,633.42,kis_api,2026-08-17T02:03:27+00:00
